iter	MAE
0	0.778831154
1	0.7734554466
2	0.7681906155
3	0.7630027954
4	0.7579683153
5	0.7532293684
6	0.7481625341
7	0.7432975766
8	0.738390292
9	0.7340712719
10	0.7295098751
11	0.7248865795
12	0.7201632183
13	0.7156815837
14	0.7112626828
15	0.7069341754
16	0.7026276722
17	0.6983890505
18	0.6940188053
19	0.6897324816
20	0.6856877041
21	0.6816105993
22	0.6774939854
23	0.6733971027
24	0.6695594823
25	0.665585567
26	0.6616299835
27	0.6579191756
28	0.6543006019
29	0.6505216698
30	0.6469420178
31	0.6432721598
32	0.6397971713
33	0.6362566948
34	0.6327948384
35	0.629223084
36	0.6258572997
37	0.622362288
38	0.6189578743
39	0.6156110074
40	0.6125584005
41	0.609380275
42	0.6061504986
43	0.6029621018
44	0.5998435941
45	0.596741255
46	0.5936931967
47	0.5907091212
48	0.5877218536
49	0.5848516237
50	0.5823407016
51	0.5798562157
52	0.5769798071
53	0.57427207
54	0.5714654488
55	0.5687593812
56	0.5661010729
57	0.5634531381
58	0.5609082543
59	0.5583347027
60	0.5558073316
61	0.5533387952
62	0.5507999977
63	0.548388301
64	0.5460318937
65	0.5437696096
66	0.5414926183
67	0.5391563465
68	0.5368306784
69	0.5350418519
70	0.5328568063
71	0.5306764516
72	0.528495858
73	0.5264534375
74	0.5243297969
75	0.5223572081
76	0.5203558295
77	0.5183782172
78	0.5164162737
79	0.5144345962
80	0.512422059
81	0.5105743135
82	0.5086645315
83	0.506811775
84	0.5049900837
85	0.5031582452
86	0.5014140231
87	0.4996810492
88	0.4980134468
89	0.4965066651
90	0.4948855614
91	0.4934895163
92	0.4918081599
93	0.4902671488
94	0.4887643896
95	0.4872549824
96	0.4857925123
97	0.4842903783
98	0.482861485
99	0.4813922269
100	0.4800260063
101	0.478708398
102	0.4773240439
103	0.4760147961
104	0.474694499
105	0.4733870512
106	0.4720827678
107	0.4707910861
108	0.4695246178
109	0.4683259016
110	0.467135339
111	0.4659470543
112	0.464852065
113	0.4637018081
114	0.4625547428
115	0.4614502716
116	0.4604995186
117	0.4593834362
118	0.458326914
119	0.4573235315
120	0.4563531814
121	0.4553333969
122	0.4543198421
123	0.4533640444
124	0.452525362
125	0.4516102967
126	0.450755431
127	0.4498681847
128	0.4489890815
129	0.4481448776
130	0.4473100672
131	0.4465361036
132	0.445693602
133	0.4448025531
134	0.4441211463
135	0.4433080674
136	0.4425840253
137	0.4418155884
138	0.4410182462
139	0.4402077445
140	0.4394461323
141	0.4387531033
142	0.4380217108
143	0.4373340118
144	0.4366294895
145	0.4359537904
146	0.4352637713
147	0.434562767
148	0.4338584108
149	0.4331769495
150	0.4325148165
151	0.4319491015
152	0.431337618
153	0.4306808156
154	0.4300812714
155	0.4295296506
156	0.42892549
157	0.4284869607
158	0.4279584682
159	0.4274086811
160	0.4268947212
161	0.4264052021
162	0.4258831799
163	0.4253483934
164	0.4248552317
165	0.4244049347
166	0.4239032831
167	0.4234638584
168	0.4230585015
169	0.4226222836
170	0.422213968
171	0.4218176031
172	0.4213789294
173	0.4209911468
174	0.4205878981
175	0.4201804462
176	0.4198015428
177	0.4194330004
178	0.4190623356
179	0.4186876054
180	0.4183645412
181	0.4179988612
182	0.4176605119
183	0.4173302214
184	0.4169859085
185	0.4166608603
186	0.4163396217
187	0.4160436979
188	0.4157168922
189	0.4154234065
190	0.4151334773
191	0.4148123846
192	0.4145746498
193	0.4142852655
194	0.41399679
195	0.4137809713
196	0.41352378
197	0.4132765552
198	0.4130211523
199	0.4127539018
200	0.4125145912
201	0.4123111186
202	0.4120944047
203	0.411897769
204	0.4116589514
205	0.4114181381
206	0.4112434834
207	0.4110163478
208	0.4107968519
209	0.4105710605
210	0.4103426844
211	0.4101578041
212	0.410072701
213	0.4098590069
214	0.4096495658
215	0.4095150794
216	0.4093333068
217	0.4091866459
218	0.4090336467
219	0.408855769
220	0.4086587913
